max_iter,L,neighbor,k,C,H,avg_fitness,std_fitness,avg_iter,avg_time,fitness_scores
100,50,scramble_mutation_optimized,1,1,0.99,67980.0,3052.37,90.43,0.65,"[67600.0, 69100.0, 66100.0, 67000.0, 69800.0, 65900.0, 65900.0, 73000.0, 72700.0, 72400.0, 67500.0, 65500.0, 65200.0, 69800.0, 71300.0, 73700.0, 63600.0, 63900.0, 69400.0, 69100.0, 64100.0, 71000.0, 64400.0, 71400.0, 63000.0, 66300.0, 68400.0, 69500.0, 64100.0, 68700.0]"
100,50,scramble_mutation_optimized,2,1,0.99,72953.33,2618.11,89.93,0.66,"[68800.0, 74900.0, 73500.0, 70600.0, 73700.0, 71400.0, 75900.0, 73000.0, 71800.0, 71700.0, 75800.0, 77800.0, 73600.0, 68500.0, 73500.0, 73200.0, 69500.0, 68800.0, 75200.0, 79200.0, 71900.0, 72600.0, 72700.0, 74100.0, 69700.0, 73400.0, 72300.0, 71600.0, 77700.0, 72200.0]"
100,50,scramble_mutation_optimized,3,1,0.99,73943.33,3136.31,90.47,0.71,"[73500.0, 64600.0, 76400.0, 72200.0, 73400.0, 77500.0, 69300.0, 75800.0, 70900.0, 70500.0, 72500.0, 74200.0, 77100.0, 71200.0, 75200.0, 75000.0, 71800.0, 72100.0, 77700.0, 76500.0, 71700.0, 73600.0, 76800.0, 76000.0, 76300.0, 70300.0, 77100.0, 79800.0, 76500.0, 72800.0]"
100,50,scramble_mutation_optimized,1,1,0.95,68566.67,3296.29,89.7,0.63,"[63900.0, 72600.0, 71100.0, 67300.0, 63500.0, 64200.0, 65400.0, 67400.0, 64900.0, 69200.0, 70900.0, 64700.0, 68600.0, 73200.0, 65800.0, 75800.0, 65500.0, 69100.0, 68400.0, 66900.0, 67000.0, 68100.0, 69600.0, 74500.0, 64700.0, 70500.0, 68800.0, 70100.0, 73700.0, 71600.0]"
100,50,scramble_mutation_optimized,2,1,0.95,71856.67,2401.21,87.63,0.62,"[73100.0, 67400.0, 71600.0, 69600.0, 71400.0, 73000.0, 74200.0, 72900.0, 70100.0, 68900.0, 70700.0, 74500.0, 74400.0, 70000.0, 75200.0, 70000.0, 73100.0, 75600.0, 73400.0, 74800.0, 72700.0, 69800.0, 70200.0, 74500.0, 68500.0, 70800.0, 73800.0, 74200.0, 70900.0, 66400.0]"
100,50,scramble_mutation_optimized,3,1,0.95,73873.33,2432.0,88.37,0.67,"[71900.0, 75800.0, 75900.0, 75700.0, 72200.0, 70800.0, 70200.0, 76800.0, 76400.0, 69500.0, 74500.0, 78100.0, 75800.0, 75000.0, 75800.0, 76200.0, 71600.0, 73100.0, 73000.0, 70600.0, 72900.0, 74900.0, 75000.0, 68900.0, 71000.0, 76200.0, 75900.0, 74400.0, 75900.0, 72200.0]"
100,50,scramble_mutation_optimized,1,1,0.9,64466.67,3089.59,57.17,0.41,"[67700.0, 62100.0, 64300.0, 65900.0, 62500.0, 69300.0, 61900.0, 69300.0, 62300.0, 65500.0, 63800.0, 61500.0, 61800.0, 66500.0, 58500.0, 60600.0, 67100.0, 62600.0, 66900.0, 66500.0, 58000.0, 65400.0, 61900.0, 65600.0, 62400.0, 69700.0, 69100.0, 63100.0, 67300.0, 64900.0]"
100,50,scramble_mutation_optimized,2,1,0.9,69313.33,3583.18,53.9,0.4,"[70500.0, 67000.0, 73000.0, 68400.0, 72900.0, 62800.0, 75600.0, 70700.0, 68000.0, 66800.0, 67800.0, 68800.0, 74700.0, 72800.0, 68300.0, 72400.0, 64000.0, 61800.0, 66800.0, 71800.0, 69000.0, 64500.0, 71500.0, 64500.0, 69200.0, 70600.0, 71000.0, 75600.0, 71800.0, 66800.0]"
100,50,scramble_mutation_optimized,3,1,0.9,70580.0,2562.86,56.13,0.44,"[72700.0, 70200.0, 70000.0, 72600.0, 74500.0, 70400.0, 72000.0, 72900.0, 68600.0, 71900.0, 68600.0, 70400.0, 67900.0, 72300.0, 68000.0, 75300.0, 69400.0, 68400.0, 67400.0, 65800.0, 69000.0, 68500.0, 71800.0, 73800.0, 71800.0, 69900.0, 66800.0, 71600.0, 68300.0, 76600.0]"
100,50,scramble_mutation_optimized,1,10,0.99,69063.33,2614.51,91.07,0.71,"[68400.0, 69500.0, 69200.0, 68900.0, 68700.0, 70700.0, 70200.0, 71700.0, 75600.0, 72000.0, 71400.0, 67200.0, 71000.0, 69600.0, 65900.0, 65000.0, 66700.0, 69100.0, 70300.0, 64200.0, 71600.0, 68700.0, 71800.0, 66300.0, 64700.0, 69700.0, 70100.0, 71000.0, 68700.0, 64000.0]"
100,50,scramble_mutation_optimized,2,10,0.99,72450.0,2730.17,89.93,0.7,"[74800.0, 76200.0, 76000.0, 74100.0, 73700.0, 68900.0, 68800.0, 75300.0, 69600.0, 75800.0, 73400.0, 73900.0, 66200.0, 71700.0, 72100.0, 72500.0, 69900.0, 72300.0, 66200.0, 72600.0, 72500.0, 72900.0, 74300.0, 69000.0, 69900.0, 73400.0, 72500.0, 76100.0, 73700.0, 75200.0]"
